y	speed	sentenceSpeed	名詞	動詞	形容詞	副詞	助詞	接続詞	助動詞	連体詞	感動詞	parts_speed	message	interval	sentenceCount	parts	characters
0	6.8	0.0	1.1333333333333333	0.4	0.06666666666666667	0.0	0.8	0.0	0.3333333333333333	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.8, '助動詞': 0.3333333333333333, '名詞': 1.1333333333333333, '副詞': 0.0, '動詞': 0.4}	高校の数学の授業で会議について学んだかもしれません 細絡 この時は会議という名前はなく 最小二乗法と言われた一言で表すと何世紀前から存在する小学校	15000	0	{'連体詞': 1, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 12, '助動詞': 5, '名詞': 17, '副詞': 0, '動詞': 6}	102
0	7.866666666666666	0.0	1.4	0.6666666666666666	0.06666666666666667	0.06666666666666667	1.1333333333333333	0.0	0.2	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 1.1333333333333333, '助動詞': 0.2, '名詞': 1.4, '副詞': 0.06666666666666667, '動詞': 0.6666666666666666}	速に実行することができ テニスの多くの問題に対して効果的に見ることができますでは まずはじめに 最小二乗法による解雇について 苦労人 一石トラン落ちて それを行う方法についていくことにします方があり	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 17, '助動詞': 3, '名詞': 21, '副詞': 1, '動詞': 10}	118
0	7.666666666666666	0.0	1.2666666666666666	0.5333333333333333	0.13333333333333333	0.0	0.9333333333333333	0.0	0.4666666666666667	0.13333333333333333	0.0	{'連体詞': 0.13333333333333333, '接続詞': 0.0, '形容詞': 0.13333333333333333, '感動詞': 0.0, '助詞': 0.9333333333333333, '助動詞': 0.4666666666666667, '名詞': 1.2666666666666666, '副詞': 0.0, '動詞': 0.5333333333333333}	 そのがあります 古典的思考では解けない問題が存在しません その場合より進んで処方します落ちる事で改善することができますが特徴量が多い場合です 猿楽町の数がサンプルデータの数より大きい	15000	0	{'連体詞': 2, '接続詞': 0, '形容詞': 2, '感動詞': 0, '助詞': 14, '助動詞': 7, '名詞': 19, '副詞': 0, '動詞': 8}	115
0	3.933333333333333	0.0	0.6666666666666666	0.4	0.06666666666666667	0.0	0.4666666666666667	0.0	0.4666666666666667	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.4666666666666667, '助動詞': 0.4666666666666667, '名詞': 0.6666666666666666, '副詞': 0.0, '動詞': 0.4}	場合は使うことができません含みます では 良い村で仕事してますり木 technetとよばれる3つの司法書士会	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 7, '助動詞': 7, '名詞': 10, '副詞': 0, '動詞': 6}	59
0	6.2	0.0	1.0666666666666667	0.3333333333333333	0.0	0.0	0.8	0.13333333333333333	0.4	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.13333333333333333, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.8, '助動詞': 0.4, '名詞': 1.0666666666666667, '副詞': 0.0, '動詞': 0.3333333333333333}	ます これは最初であり 60年間の間に送られてきました行きます アプリケーションに付加価値ことができます また 本書では recommendについての基礎学習人以上ではまた	15000	0	{'連体詞': 0, '接続詞': 2, '形容詞': 0, '感動詞': 0, '助詞': 12, '助動詞': 6, '名詞': 16, '副詞': 0, '動詞': 5}	93
0	5.066666666666666	0.0	0.7333333333333334	0.4	0.0	0.0	0.6	0.0	0.3333333333333333	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.6, '助動詞': 0.3333333333333333, '名詞': 0.7333333333333334, '副詞': 0.0, '動詞': 0.4}	5年度について学びますしましょう 大学について その科学を予測する問題を考えます 一般的に公開されているものです データセットには	15000	0	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 9, '助動詞': 5, '名詞': 11, '副詞': 0, '動詞': 6}	76
0	6.533333333333334	0.0	1.4	0.4666666666666667	0.0	0.0	0.4666666666666667	0.0	0.13333333333333333	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.4666666666666667, '助動詞': 0.13333333333333333, '名詞': 1.4, '副詞': 0.0, '動詞': 0.4666666666666667}	犯罪発生率 先生1人当たりの人口統計に関する情報と個人情報が与えられています 京都することはarea 51されたとき その周辺にある情報 土地利用	15000	0	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 7, '助動詞': 2, '名詞': 21, '副詞': 0, '動詞': 7}	98
0	5.4	0.0	0.9333333333333333	0.4	0.0	0.0	0.8666666666666666	0.0	0.2	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.8666666666666666, '助動詞': 0.2, '名詞': 0.9333333333333333, '副詞': 0.0, '動詞': 0.4}	の周辺にある家のお値段の中央値を求めることです 今までと同じように 彼らは教師あり学習 大学われていますということもことができます	15000	0	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 13, '助動詞': 3, '名詞': 14, '副詞': 0, '動詞': 6}	81
0	2.1333333333333333	0.0	0.13333333333333333	0.3333333333333333	0.0	0.06666666666666667	0.26666666666666666	0.0	0.26666666666666666	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.26666666666666666, '助動詞': 0.26666666666666666, '名詞': 0.13333333333333333, '副詞': 0.06666666666666667, '動詞': 0.3333333333333333}	 生まれて初めてことができますが 持ちます いきます いきから始めた	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 4, '助動詞': 4, '名詞': 2, '副詞': 1, '動詞': 5}	32
0	4.333333333333333	0.0	0.6666666666666666	0.4666666666666667	0.0	0.06666666666666667	0.6666666666666666	0.0	0.26666666666666666	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.6666666666666666, '助動詞': 0.26666666666666666, '名詞': 0.6666666666666666, '副詞': 0.06666666666666667, '動詞': 0.4666666666666667}	いと思います 特徴量は 平均値だけをもちいておきたいと思います数の平均 昼は別の場所に格納されています	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 10, '助動詞': 4, '名詞': 10, '副詞': 1, '動詞': 7}	65
1	3.6666666666666665	0.13333333333333333	0.5333333333333333	0.13333333333333333	0.0	0.0	0.6	0.0	0.26666666666666666	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.6, '助動詞': 0.26666666666666666, '名詞': 0.5333333333333333, '副詞': 0.0, '動詞': 0.13333333333333333}	高校の数学の授業で会議について学んだかもしれません 雄楽 そのときは回帰 という名前ではなく	15000	2	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 9, '助動詞': 4, '名詞': 8, '副詞': 0, '動詞': 2}	55
1	3.933333333333333	0.0	0.7333333333333334	0.4	0.0	0.0	0.4666666666666667	0.0	0.2	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.4666666666666667, '助動詞': 0.2, '名詞': 0.7333333333333334, '副詞': 0.0, '動詞': 0.4}	 最小二乗法と呼ばれていたことでしょう この席も前から存在する秘宝は高速に実行することができ	15000	0	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 7, '助動詞': 3, '名詞': 11, '副詞': 0, '動詞': 6}	59
1	4.533333333333333	0.06666666666666667	0.8666666666666666	0.2	0.0	0.06666666666666667	0.6666666666666666	0.0	0.06666666666666667	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.6666666666666666, '助動詞': 0.06666666666666667, '名詞': 0.8666666666666666, '副詞': 0.06666666666666667, '動詞': 0.2}	 現実の多くの問題に対して効果的に持ちることができます 本章では まずはじめに 最小二乗法による回忌について	15000	1	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 10, '助動詞': 1, '名詞': 13, '副詞': 1, '動詞': 3}	68
1	3.3333333333333335	0.13333333333333333	0.5333333333333333	0.3333333333333333	0.0	0.0	0.4	0.0	0.06666666666666667	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.4, '助動詞': 0.06666666666666667, '名詞': 0.5333333333333333, '副詞': 0.0, '動詞': 0.3333333333333333}	 福祉 fight サイキックラバーをもちいて それを行う方法についていていくことにします 第2話	15000	2	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 6, '助動詞': 1, '名詞': 8, '副詞': 0, '動詞': 5}	50
1	3.4666666666666663	0.06666666666666667	0.6	0.2	0.06666666666666667	0.0	0.4	0.0	0.2	0.13333333333333333	0.0	{'連体詞': 0.13333333333333333, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.4, '助動詞': 0.2, '名詞': 0.6, '副詞': 0.0, '動詞': 0.2}	様々なものがあり その中には 古典的手法ではうまく使えない問題が存在します その場合	15000	1	{'連体詞': 2, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 6, '助動詞': 3, '名詞': 9, '副詞': 0, '動詞': 3}	52
1	3.8	0.13333333333333333	0.6666666666666666	0.4	0.0	0.0	0.6	0.0	0.13333333333333333	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.6, '助動詞': 0.13333333333333333, '名詞': 0.6666666666666666, '副詞': 0.0, '動詞': 0.4}	 進んで司法省のあとの方で紹介します 落ちることで改善することができます これが俗に当てはまるのか	15000	2	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 9, '助動詞': 2, '名詞': 10, '副詞': 0, '動詞': 6}	57
1	4.533333333333333	0.13333333333333333	1.0	0.0	0.13333333333333333	0.0	0.5333333333333333	0.0	0.06666666666666667	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.13333333333333333, '感動詞': 0.0, '助詞': 0.5333333333333333, '助動詞': 0.06666666666666667, '名詞': 1.0, '副詞': 0.0, '動詞': 0.0}	特徴量が多い場合です それは特徴量の和がサンプルデータの数より大きい場合 その場合 最小二乗法では	15000	2	{'連体詞': 1, '接続詞': 0, '形容詞': 2, '感動詞': 0, '助詞': 8, '助動詞': 1, '名詞': 15, '副詞': 0, '動詞': 0}	68
1	2.4	0.13333333333333333	0.3333333333333333	0.26666666666666666	0.0	0.13333333333333333	0.3333333333333333	0.0	0.13333333333333333	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.3333333333333333, '助動詞': 0.13333333333333333, '名詞': 0.3333333333333333, '副詞': 0.13333333333333333, '動詞': 0.26666666666666666}	うまく扱うことができません フクビます ではより進んで仕事して ラッソ	15000	2	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 5, '助動詞': 2, '名詞': 5, '副詞': 2, '動詞': 4}	36
1	2.7333333333333334	0.13333333333333333	0.5333333333333333	0.2	0.0	0.0	0.26666666666666666	0.0	0.06666666666666667	0.06666666666666667	0.0	{'連体詞': 0.06666666666666667, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.26666666666666666, '助動詞': 0.06666666666666667, '名詞': 0.5333333333333333, '副詞': 0.0, '動詞': 0.2}	呼ばれるその手法を紹介します それらは 最近の主婦出会い 開発はここ	15000	2	{'連体詞': 1, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 4, '助動詞': 1, '名詞': 8, '副詞': 0, '動詞': 3}	41
1	3.066666666666667	0.13333333333333333	0.4666666666666667	0.3333333333333333	0.0	0.0	0.5333333333333333	0.0	0.2	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 0.5333333333333333, '助動詞': 0.2, '名詞': 0.4666666666666667, '副詞': 0.0, '動詞': 0.3333333333333333}	こ10年間のうちに言われてきました 英語では recommendについていていきます これは	15000	2	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 8, '助動詞': 3, '名詞': 7, '副詞': 0, '動詞': 5}	46
0	4.8	0.0	0.9333333333333333	0.4	0.06666666666666667	0.06666666666666667	0.7333333333333334	0.0	0.2	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.7333333333333334, '助動詞': 0.2, '名詞': 0.9333333333333333, '副詞': 0.06666666666666667, '動詞': 0.4}	17-1はすべてのデータ.と直線 視線を回復しています 見てわかるとおり全然うまくいっていません 土浦の様子が一つだけのモデル	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 11, '助動詞': 3, '名詞': 14, '副詞': 1, '動詞': 6}	72
0	4.8	0.0	1.3333333333333333	0.2	0.0	0.06666666666666667	1.0	0.0	0.06666666666666667	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.0, '感動詞': 0.0, '助詞': 1.0, '助動詞': 0.06666666666666667, '名詞': 1.3333333333333333, '副詞': 0.06666666666666667, '動詞': 0.2}	モデルと値段が部屋の家具のバスに乗ることが分かります これが意味する言葉 部屋の数が二つの意味は 一人一つのヤリ部屋の数がいつも家は	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 0, '感動詞': 0, '助詞': 15, '助動詞': 1, '名詞': 20, '副詞': 1, '動詞': 3}	72
0	4.466666666666667	0.0	0.8666666666666666	0.13333333333333333	0.06666666666666667	0.06666666666666667	0.6	0.0	0.6	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.6, '助動詞': 0.6, '名詞': 0.8666666666666666, '副詞': 0.06666666666666667, '動詞': 0.13333333333333333}	一つであるということです しかしであることは明らかでしょう 次に取るべき資格は これまでの時期 2 -を追加することによっていいのでは	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 9, '助動詞': 9, '名詞': 13, '副詞': 1, '動詞': 2}	67
0	4.933333333333333	0.0	0.8	0.6	0.06666666666666667	0.0	0.8666666666666666	0.0	0.4	0.0	0.0	{'連体詞': 0.0, '接続詞': 0.0, '形容詞': 0.06666666666666667, '感動詞': 0.0, '助詞': 0.8666666666666666, '助動詞': 0.4, '名詞': 0.8, '副詞': 0.0, '動詞': 0.6}	 今なら 今の値段お願いしますするためには xに書くように気をつけます にの内容になります すれちがいくつかあり それにうまく対応していませんが	15000	0	{'連体詞': 0, '接続詞': 0, '形容詞': 1, '感動詞': 0, '助詞': 13, '助動詞': 6, '名詞': 12, '副詞': 0, '動詞': 9}	74
